timestamp,price,volume,volatility,liquidity,feesUSD,hour,day_of_week
2024-08-29 21:00:00,2530.9828828424734,5447388.2360449135,0.0026560874662048908,7.729917385292835e+18,2723.6941180224567,21,3
2024-08-29 20:00:00,2539.01194695981,8295270.466468971,0.002328775236778617,9.478855200782932e+18,4147.635233234486,20,3
2024-08-29 19:00:00,2528.237712087184,7917180.763876618,0.003478613563399215,7.729304823867304e+18,3958.590381938309,19,3
2024-08-29 18:00:00,2520.964965185492,13974219.580326132,0.0032982779395904927,7.699935458296957e+18,6987.1097901630665,18,3
2024-08-29 17:00:00,2575.6769986586196,3720607.689118052,0.009522371412536796,7.972373792797104e+18,1860.3038445590255,17,3
2024-08-29 16:00:00,2571.9441148496167,4357900.445167431,0.008870163023936251,7.969399732436605e+18,2178.950222583715,16,3
2024-08-29 15:00:00,2577.526990144009,6968243.277112986,0.008213295667541679,7.963027372775517e+18,3484.1216385564926,15,3
2024-08-29 14:00:00,2568.4996329761875,7017746.53061704,0.007939624420175446,9.130033807406547e+18,3508.8732653085194,14,3
2024-08-29 13:00:00,2570.712025287278,6995921.5640999805,0.0074919284137251,1.015777535292493e+19,3497.9607820499905,13,3
2024-08-29 12:00:00,2574.215228837863,8639816.879132105,0.007428800094303324,7.846686380453874e+18,4319.908439566053,12,3
2024-08-29 11:00:00,2557.06147000738,10555480.70034573,0.007904586101463816,2.329858650096542e+19,5277.740350172865,11,3
2024-08-29 10:00:00,2542.184869759046,2888913.267365319,0.008144427262797507,7.56063973345908e+18,1444.4566336826597,10,3
2024-08-29 09:00:00,2544.05243079885,4183848.877689336,0.007996541673456503,7.614305869914626e+18,2091.924438844668,9,3
2024-08-29 08:00:00,2544.1320846480976,3775345.798719994,0.007906321428583371,1.504620750153518e+19,1887.6728993599968,8,3
2024-08-29 07:00:00,2549.5113468495774,3020711.4634145927,0.003242466994805698,7.668500886011358e+18,1510.3557317072964,7,3
2024-08-29 06:00:00,2551.060193019866,4686705.293044376,0.00327696562612856,7.705160559156872e+18,2343.352646522188,6,3
2024-08-29 05:00:00,2540.6207939252954,3019976.0427327584,0.0032422701135146055,7.55245737364399e+18,1509.9880213663791,5,3
2024-08-29 04:00:00,2526.0724073061833,2483284.620435501,0.0034681317037470287,8.18436368865301e+18,1241.6423102177507,4,3
2024-08-29 03:00:00,2523.5138148397255,1852890.006398604,0.003365943122324268,7.934866419050403e+18,926.445003199302,3,3
2024-08-29 02:00:00,2529.2865223343806,4226625.356009386,0.003474853256208366,7.884513465680224e+18,2113.3126780046928,2,3
2024-08-29 01:00:00,2523.3023344155004,5006216.929959461,0.003038489190119844,7.782311564050458e+18,2503.1084649797303,1,3
2024-08-29 00:00:00,2533.3449159836027,5334359.48001378,0.003007928588290129,7.417124292499882e+18,2667.17974000689,0,3
2024-08-28 23:00:00,2527.9248766488367,2503689.2210909473,0.00303061819191025,7.49672197907955e+18,1251.8446105454736,23,2
2024-08-28 22:00:00,2531.3252634036785,4929654.717990921,0.0030904376806438322,7.388287330784322e+18,2464.8273589954606,22,2
2024-08-28 21:00:00,2531.1594335593413,9263494.333628682,0.0029596331307713717,7.388287330784322e+18,4631.747166814341,21,2
2024-08-28 20:00:00,2540.4881348653457,20662820.56773141,0.0032578622735786084,7.399227328304925e+18,10331.410283865707,20,2
2024-08-28 19:00:00,2505.20568066144,9366935.185131855,0.005312654070378605,7.561539220567131e+18,4683.4675925659285,19,2
2024-08-28 18:00:00,2533.441250524437,9187952.904692084,0.0063824401732952485,7.386977556472687e+18,4593.976452346042,18,2
2024-08-28 17:00:00,2503.383435123068,9245081.525926568,0.0074632762101233,7.453748171711485e+18,4622.540762963285,17,2
2024-08-28 16:00:00,2515.893111254117,19529404.13538667,0.007634065527521173,7.33846676305115e+18,9764.702067693335,16,2
2024-08-28 15:00:00,2497.628499802949,12945231.821769632,0.007918216629600516,7.43561588283933e+18,6472.615910884817,15,2
2024-08-28 14:00:00,2504.737974310861,17747778.89933961,0.007846899907399925,7.434033871338647e+18,8873.889449669805,14,2
2024-08-28 13:00:00,2485.962720126596,11062471.779578948,0.00810380643789611,7.200280998778749e+18,5531.235889789474,13,2
2024-08-28 12:00:00,2528.0809044570774,4032207.6779939607,0.01001776982524435,7.261038925915139e+18,2016.1038389969804,12,2
2024-08-28 11:00:00,2524.3861048545687,6983523.153732314,0.01002721929407444,7.262158976648538e+18,3491.7615768661567,11,2
2024-08-28 10:00:00,2523.0432426772304,8900297.200709026,0.009932821265606621,7.255735187662515e+18,4450.148600354512,10,2
2024-08-28 09:00:00,2540.969684600588,11329780.34247046,0.008997162796559066,7.250409489941367e+18,5664.890171235231,9,2
2024-08-28 08:00:00,2464.1859191521266,8315983.040157936,0.012750778536293047,7.747353309458298e+18,4157.991520078968,8,2
2024-08-28 07:00:00,2437.882589674104,9851090.400673045,0.012660908332171168,7.375858903853107e+18,4925.545200336523,7,2
2024-08-28 06:00:00,2464.3506499610794,2795131.0152533078,0.013175463875347737,7.312231153662952e+18,1397.5655076266537,6,2
2024-08-28 05:00:00,2464.296689942113,4461228.353668097,0.013051978372969323,7.294800458241904e+18,2230.614176834049,5,2
2024-08-28 04:00:00,2470.8993529477,9740605.182002798,0.013046232969779916,6.888083878862338e+18,4870.3025910013985,4,2
2024-08-28 03:00:00,2479.0708454131122,4434276.709493552,0.012921190747406422,6.854450512347556e+18,2217.138354746776,3,2
2024-08-28 02:00:00,2459.9234053006267,11534556.634394446,0.011568311242998059,6.788409268890088e+18,5767.278317197223,2,2
